state,parlimen,dun,total,male_18_20,female_18_20,total_18_20,ratio_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14,votertype_early,Total#
Selangor,P.104 Subang,N.30 Kinrara,120415,5178,4821,9999,0.08303782751318357,14625,13808,11555,11027,10915,11756,9840,10432,5510,5536,1868,2296,484,657,41,66,119557,182,644,32,72399.0,826,230940
Selangor,P.105 Petaling Jaya,N.32 Seri Setia,79246,2553,2314,4867,0.0614163490901749,8666,7869,9521,8343,7323,7408,5828,6398,3830,4672,1542,1922,379,535,75,68,75632,3444,152,18,52650.0,3596,195148
Selangor,P.106 Damansara,N.35 Kampung Tunku,58510,870,790,1660,0.028371218595111946,2891,2764,3936,3792,4952,5191,5043,5562,4770,5837,3642,4543,1518,1839,227,343,58240,0,255,15,48601.0,255,239103
Selangor,P.107 Sungai Buloh,N.38 Paya Jaras,70729,3526,3320,6846,0.09679198065857003,9992,9591,8067,7875,5562,5810,4482,4585,2683,2855,918,955,161,244,67,36,70120,576,19,14,40269.0,595,158090
Selangor,P.108 Shah Alam,N.40 Kota Anggerik,90996,4590,4238,8828,0.09701525341773265,12313,11677,10031,9458,7355,7836,5546,5661,3839,4287,1635,1732,310,389,45,54,89186,54,1704,52,52282.0,1758,165744
Selangor,P.109 Kapar,N.42 Meru,64367,2874,2937,5811,0.09027918032532198,9014,8702,7014,6918,5274,5721,4253,4467,2369,2568,805,992,148,231,38,42,63909,0,453,5,39091.0,453,189369
Selangor,P.110 Klang,N.45 Bandar Baru Klang,82340,2193,2054,4247,0.05157881952878309,7837,7280,8065,7893,7437,7523,6340,6796,5427,5837,2579,3048,670,1028,138,195,82288,0,31,21,58017.0,31,208913
Selangor,P.111 Kota Raja,N.48 Sentosa,88435,3865,3743,7608,0.08602928704698366,11986,11186,9967,10026,7417,8702,5292,6161,3121,3655,1229,1462,220,338,34,31,88419,0,0,16,51444.0,0,244712
Selangor,P.112 Kuala Langat,N.51 Sijangkang,60902,2926,2694,5620,0.09227939969130734,7914,7515,6636,6716,5305,5547,3948,4085,2319,2550,866,1125,214,376,89,77,60868,0,30,4,39455.0,30,148637
Selangor,P.113 Sepang,N.54 Tanjong Sepat,32114,1034,985,2019,0.06286977642149841,3537,3328,3550,3396,2920,2748,2498,2470,1665,1676,715,934,195,362,38,63,32105,0,7,2,24272.0,7,168039
W.P. Kuala Lumpur,P.114 Kepong,P.114 Kepong,94285,2013,1891,3904,0.04140637429071432,7275,6750,7903,7370,8769,8411,9232,9035,7279,7382,3676,4375,1106,1465,119,234,93994,0,283,8,72696.0,283,94285
W.P. Kuala Lumpur,P.115 Batu,P.115 Batu,113863,3336,3244,6580,0.05778874612472884,11945,11276,13546,12558,10108,9860,7881,8510,6328,7081,2633,3282,701,1139,232,203,110866,2219,759,19,76328.0,2978,113863
W.P. Kuala Lumpur,P.116 Wangsa Maju,P.116 Wangsa Maju,120323,3205,2974,6179,0.05135344032313024,12270,11100,14933,14015,10678,10676,8101,9556,6870,8145,2624,3344,602,978,119,133,117500,2450,342,31,88482.0,2792,120323
W.P. Kuala Lumpur,P.117 Segambut,P.117 Segambut,119652,3241,3156,6397,0.05346337712700164,11241,10739,12471,12298,10227,10787,8453,9557,7420,8691,3810,4359,1127,1463,302,310,119339,0,249,64,77956.0,249,119652
W.P. Kuala Lumpur,P.118 Setiawangsa,P.118 Setiawangsa,95753,2663,2397,5060,0.052844297306611804,10562,9013,13553,11213,8586,8173,6493,7057,4966,5804,1817,2183,396,649,96,132,83599,9365,2750,39,72136.0,12115,95753
W.P. Kuala Lumpur,P.119 Titiwangsa,P.119 Titiwangsa,80747,2060,1813,3873,0.047964630264901484,7365,6717,8758,7972,6934,6838,6652,7135,5424,6048,2156,2834,608,924,288,221,78624,1810,295,18,61598.0,2105,80747
